         table_name         |        column_name         |          data_type
----------------------------+----------------------------+-----------------------------
 actions                    | action_id                  | integer
 actions                    | action_name                | character varying
 activity_log               | log_id                     | integer
 activity_log               | user_id                    | integer
 activity_log               | action_id                  | integer
 activity_log               | details                    | jsonb
 activity_log               | created_at                 | timestamp with time zone
 auth_group                 | id                         | integer
 auth_group                 | name                       | character varying
 auth_group_permissions     | id                         | bigint
 auth_group_permissions     | group_id                   | integer
 auth_group_permissions     | permission_id              | integer
 auth_permission            | id                         | integer
 auth_permission            | name                       | character varying
 auth_permission            | content_type_id            | integer
 auth_permission            | codename                   | character varying
 auth_user                  | id                         | integer
 auth_user                  | password                   | character varying
 auth_user                  | last_login                 | timestamp with time zone
 auth_user                  | is_superuser               | boolean
 auth_user                  | username                   | character varying
 auth_user                  | first_name                 | character varying
 auth_user                  | last_name                  | character varying
 auth_user                  | email                      | character varying
 auth_user                  | is_staff                   | boolean
 auth_user                  | is_active                  | boolean
 auth_user                  | date_joined                | timestamp with time zone
 auth_user_groups           | id                         | bigint
 auth_user_groups           | user_id                    | integer
 auth_user_groups           | group_id                   | integer
 auth_user_user_permissions | id                         | bigint
 auth_user_user_permissions | user_id                    | integer
 auth_user_user_permissions | permission_id              | integer
 chat_conversations         | conversation_id            | integer
 chat_conversations         | name                       | character varying
 chat_conversations         | created_at                 | timestamp with time zone
 chat_conversations         | updated_at                 | timestamp with time zone
 chat_conversations         | is_group_chat              | boolean
 chat_participants          | participant_id             | integer
 chat_participants          | conversation_id            | integer
 chat_participants          | user_id                    | integer
 comments                   | comment_id                 | integer
 comments                   | startup_id                 | integer
 comments                   | user_id                    | integer
 comments                   | content                    | text
 comments                   | created_at                 | timestamp with time zone
 comments                   | updated_at                 | timestamp with time zone
 comments                   | parent_comment_id          | integer
 directions                 | direction_id               | integer
 directions                 | direction_name             | character varying
 django_admin_log           | id                         | integer
 django_admin_log           | action_time                | timestamp with time zone
 django_admin_log           | object_id                  | text
 django_admin_log           | object_repr                | character varying
 django_admin_log           | action_flag                | smallint
 django_admin_log           | change_message             | text
 django_admin_log           | content_type_id            | integer
 django_admin_log           | user_id                    | integer
 django_content_type        | id                         | integer
 django_content_type        | app_label                  | character varying
 django_content_type        | model                      | character varying
 django_migrations          | id                         | bigint
 django_migrations          | app                        | character varying
 django_migrations          | name                       | character varying
 django_migrations          | applied                    | timestamp with time zone
 django_session             | session_key                | character varying
 django_session             | session_data               | text
 django_session             | expire_date                | timestamp with time zone
 entity_types               | type_id                    | integer
 entity_types               | type_name                  | character varying
 file_storage               | file_id                    | integer
 file_storage               | entity_type_id             | integer
 file_storage               | entity_id                  | integer
 file_storage               | file_url                   | character varying
 file_storage               | file_type_id               | integer
 file_storage               | uploaded_at                | timestamp with time zone
 file_storage               | startup_id                 | integer
 file_types                 | type_id                    | integer
 file_types                 | type_name                  | character varying
 industries                 | industry_id                | integer
 industries                 | industry_name              | character varying
 investment_transactions    | transaction_id             | integer
 investment_transactions    | startup_id                 | integer
 investment_transactions    | investor_id                | integer
 investment_transactions    | amount                     | numeric
 investment_transactions    | is_micro                   | boolean
 investment_transactions    | transaction_type_id        | integer
 investment_transactions    | payment_gateway_response   | jsonb
 investment_transactions    | transaction_status         | character varying
 investment_transactions    | payment_method_id          | integer
 investment_transactions    | note                       | text
 investment_transactions    | created_at                 | timestamp with time zone
 investment_transactions    | updated_at                 | timestamp with time zone
 legal_pages                | page_id                    | integer
 legal_pages                | title                      | character varying
 legal_pages                | content                    | text
 legal_pages                | version                    | character varying
 legal_pages                | updated_at                 | timestamp with time zone
 message_statuses           | status_id                  | integer
 message_statuses           | status_name                | character varying
 messages                   | message_id                 | integer
